Date,Video Folder,Video #,Trial,Tank,Group,activity_numchases,activity_timechases,novel_numchases,novel_timechases,food_numchases,food_timechases,pred_numchases,pred_timechases,,,,,
10/9/17,RH2,2,2,4,4F_3,3,2498,12,19273,7,18850,18,31032,,,,,
10/11/17,RH2,2,3,4,4F_3,4,4774,12,17578,0,0,15,31472,,,,,
9/28/17,RH5,"3,4",1,9,4G_2,2,3982,1,597,0,0,1,689,,,,,
9/30/17,RH5,3,2,9,4G_2,11,14617,7,5428,4,3730,NA,NA,,,,,
10/2/17,RH5,2,3,9,4G_2,8,14018,16,44287,0,0,6,11614,,,,,
10/7/17,RH5,"3,4",1,9,4G_3,0,0,0,0,0,0,4,9768,,,,,
10/9/17,RH5,2,2,9,4G_3,0,0,0,0,0,0,0,0,,,,,
10/11/17,RH5,2,3,9,4G_3,0,0,0,0,1,835,0,0,,,,,
9/28/17,RH5,"3,4",1,10,4H_2,0,0,0,0,0,0,0,0,,,,,
9/30/17,RH5,3,2,10,4H_2,0,0,0,0,0,0,0,0,,,,,
10/2/17,RH5,2,3,10,4H_2,0,0,0,0,0,0,0,0,,,,,
10/7/17,RH5,"3,4",1,10,4H_3,0,0,2,1103,9,13404,2,2868,,,,,
10/9/17,RH5,2,2,10,4H_3,0,0,21,68323,1,854,0,0,,,,,
10/11/17,RH5,2,3,10,4H_3,0,0,0,0,0,0,0,0,,,,,
8/16/17,RH2 81617,1,1,3,4I,26,23452,14,15231,2,2509,5,2432,,,,,
9/29/17,RH2,1,1,3,4I_2,0,0,0,0,1,1039,0,0,,,,,
10/1/17,RH2,1,2,3,4I_2,0,0,0,0,0,0,0,0,,,,,
10/8/17,RH2,1,1,3,4I_3,0,0,0,0,0,0,0,0,,,,,
10/10/17,RH2,1,2,3,4I_3,8,22921,0,0,4,3944,0,0,,,,,
8/16/17,RH5 81617,1,1,10,4J,0,0,10,35609,9,33073,0,0,,,,,
8/18/17,RH5,1,2,10,4J,14,43867,27,46907,12,29584,14,40911,,,,,
8/20/17,RH5,"1,2",3,10,4J,0,0,11,36136,0,0,0,0,,,,,
9/29/17,RH2,1,1,4,4J_2,0,0,0,0,4,7100,0,0,,,,,
10/8/17,RH2,1,1,4,4J_3,0,0,0,0,0,0,0,0,,,,,
10/10/17,RH2,1,2,4,4J_3,4,20078,9,35489,2,4428,0,0,,,,,
